"fecha";"Run Fondo";"periodo";"rent";"serie"
2023-04-17;"8305";"1M";0.05;APV
2023-04-17;"8305";"3M";0.04;APV
2023-04-17;"8305";"6M";0.05;APV
2023-04-17;"8305";"1Y";0.02;APV
2023-04-17;"8305";YTD;0.02;APV
2023-04-18;"8305";"1M";0.06;APV
2023-04-18;"8305";"3M";0.03;APV
2023-04-18;"8305";"6M";0.04;APV
2023-04-18;"8305";"1Y";0.04;APV
2023-04-18;"8305";YTD;0.02;APV
2023-04-19;"8305";"1M";0.05;APV
2023-04-19;"8305";"3M";0.03;APV
2023-04-19;"8305";"6M";0.04;APV
2023-04-19;"8305";"1Y";0.02;APV
2023-04-19;"8305";YTD;0.01;APV
2023-04-20;"8305";"1M";0.03;APV
2023-04-20;"8305";"3M";0.02;APV
2023-04-20;"8305";"6M";0.03;APV
2023-04-20;"8305";"1Y";0.00;APV
2023-04-20;"8305";YTD;0.01;APV
2023-04-21;"8305";"1M";-0.02;APV
2023-04-21;"8305";"3M";-0.01;APV
2023-04-21;"8305";"6M";0.00;APV
2023-04-21;"8305";"1Y";-0.02;APV
2023-04-21;"8305";YTD;-0.02;APV
2023-04-22;"8305";"1M";-0.02;APV
2023-04-22;"8305";"3M";-0.01;APV
2023-04-22;"8305";"6M";0.00;APV
2023-04-22;"8305";"1Y";-0.01;APV
2023-04-22;"8305";YTD;-0.02;APV
2023-04-23;"8305";"1M";-0.01;APV
2023-04-23;"8305";"3M";-0.02;APV
2023-04-23;"8305";"6M";0.00;APV
2023-04-23;"8305";"1Y";-0.01;APV
2023-04-23;"8305";YTD;-0.02;APV
2023-04-24;"8305";"1M";0.01;APV
2023-04-24;"8305";"3M";0.00;APV
2023-04-24;"8305";"6M";0.02;APV
2023-04-24;"8305";"1Y";0.01;APV
2023-04-24;"8305";YTD;-0.01;APV
2023-04-25;"8305";"1M";0.01;APV
2023-04-25;"8305";"3M";0.00;APV
2023-04-25;"8305";"6M";0.00;APV
2023-04-25;"8305";"1Y";0.03;APV
2023-04-25;"8305";YTD;-0.01;APV
2023-04-26;"8305";"1M";0.01;APV
2023-04-26;"8305";"3M";-0.02;APV
2023-04-26;"8305";"6M";0.00;APV
2023-04-26;"8305";"1Y";0.04;APV
2023-04-26;"8305";YTD;-0.01;APV
2023-04-27;"8305";"1M";0.02;APV
2023-04-27;"8305";"3M";0.00;APV
2023-04-27;"8305";"6M";0.01;APV
2023-04-27;"8305";"1Y";0.04;APV
2023-04-27;"8305";YTD;0.00;APV
2023-04-28;"8305";"1M";0.03;APV
2023-04-28;"8305";"3M";0.00;APV
2023-04-28;"8305";"6M";0.01;APV
2023-04-28;"8305";"1Y";0.05;APV
2023-04-28;"8305";YTD;0.00;APV
2023-04-29;"8305";"1M";0.01;APV
2023-04-29;"8305";"3M";0.00;APV
2023-04-29;"8305";"6M";0.01;APV
2023-04-29;"8305";"1Y";0.05;APV
2023-04-29;"8305";YTD;0.00;APV
2023-04-30;"8305";"1M";0.02;APV
2023-04-30;"8305";"3M";0.00;APV
2023-04-30;"8305";"6M";0.01;APV
2023-04-30;"8305";"1Y";0.05;APV
2023-04-30;"8305";YTD;0.00;APV
2023-05-01;"8305";"1M";0.01;APV
2023-05-01;"8305";"3M";0.01;APV
